,Magnitude,Repute,Summary
Rs4149584(G;G),0,Good,"common in clinvar"
Rs3928305(G;G),0,Good,"Ancestral value"
Rs3928305(A;A),2,,"Derived value"
Rs3928305(A;G),3,,Heteroplasmy
Rs2235371(C;C),0,Good,"common in clinvar"
Rs16901979(A;C),2.9,Bad,"1.5x increased risk for prostate cancer"
Rs16901979(A;A),2.9,Bad,"1.5x increased risk for prostate cancer"
Rs265981(A;A),0,,
Rs4532(C;C),0,,
Rs686(G;G),0,,
Rs1800734(G;G),0,Good,"common in clinvar"
Rs3802842(A;A),0,,normal
Rs7517847(T;T),0,,normal
Rs6435862(T;T),0,,"Normal risk of aggressive neuroblastoma."
Rs6435862(G;T),1.5,Bad,"1.7x higher risk of aggressive neuroblastoma"
Rs6435862(G;G),2,Bad,"2.8x higher risk of aggressive neuroblastoma"
Rs2854128(A;A),1,Bad,"G2706A+, probably MT-Haplogroup H."
Rs1805192(C;C),0,Good,"common in clinvar"
Rs332(TCT;TCT),0.5,,"Homozygous for F508C variant of cystic fibrosis gene; benign"
Rs35077384(C;C),0,Good,"common in clinvar"
Rs13387042(A;A),1.25,Bad,"1.24x increased risk for breast cancer"
Rs13387042(A;G),1.1,Bad,"1.12x increased risk for breast cancer"
Rs25409(C;C),0,Good,
Rs5030737(C;C),0,Good,"common in clinvar"
Rs5030737(T;T),1.6,Bad,"mannose binding deficiency but of low clinical importance"
Rs2282440(C;C),0,Good,"common in complete genomics"
Rs2491132(C;C),0,Good,"common in clinvar"
Rs1805124(A;A),0,Good,"common in clinvar"
Rs5743618(G;G),2,Good,"greater resistance to leprosy; but also consequence for Lyme patients"
Rs846664(T;T),0,Good,"common in clinvar"
Rs1801968(G;G),0,Good,"common in clinvar"
Rs4684677(T;T),0,Good,"common on affy axiom data"
Rs61747071(C;C),0,Good,"common in clinvar"
Rs6994992(T;T),1,,"increased creativity?"
Rs6994992(C;T),1,,
Rs5030980(G;G),0,Good,"common in complete genomics"
Rs5742912(T;T),0,Good,"common in clinvar"
Rs910873(G;G),0,Good,normal
Rs910873(A;A),4,Bad,"3x increased risk of melanoma"
Rs910873(A;G),3,Bad,"1.7x increased risk of melanoma; increased risk of squamous cell carcinoma"
Rs1050501(T;T),0,Good,"common in complete genomics"
Rs6277(T;T),2,Good,"normal schizophrenia risk, learns NoGo faster"
Rs201571(T;T),2,Bad,"more likely to go bald"
Rs2223841(A;A),1.2,Bad,"more likely to go bald before age 40"
Rs6625163(A;A),1.2,Bad,"increased risk of baldness"
Rs6036025(G;G),1.2,Bad,"more likely to go bald"
Rs1799852(T;T),2.5,Bad,"lower serum transferrin levels"
Rs1799852(C;C),0,Good,"common on affy axiom data"
Rs1799977(A;A),0,Good,"common in clinvar"
Rs1858830(C;C),2,Bad,"2x risk of autism reported by some (but not other) publications"
Rs1805874(A;A),0,,
Rs1805874(A;C),0,,
Rs1805874(C;C),0,,
Rs5368(C;C),0,Good,"common in complete genomics"
Rs2070744(T;T),2.1,Good,"cardiovascular differences"
