,Magnitude,Repute,Summary
Rs2230288(A;A),1,,"Homozygous for E326K variant of GBA gene"
Rs2258689(T;T),0,Good,"common in clinvar"
Rs2258689(C;C),0,,
Rs2266782(G;G),0,Good,"common in clinvar"
Rs2269529(T;T),0,Good,"common in clinvar"
Rs2274158(G;G),0,Good,"common in clinvar"
Rs2274159(A;A),0,Good,"common in clinvar"
Rs2277598(A;A),0,Good,"common in clinvar"
Rs2277598(G;G),0,,
Rs2297950(C;C),0,Good,"common in clinvar"
Rs33910054(G;G),0,Good,"common in clinvar"
Rs34116584(C;C),0,Good,"common in clinvar"
Rs34967813(A;A),0,Good,"common in clinvar"
Rs35441642(G;G),0,Good,"common in clinvar"
Rs4265781(T;T),0,Good,"common in clinvar"
Rs4935502(T;T),0,Good,"common in complete genomics"
Rs4978584(C;C),0,Good,"common in clinvar"
Rs5911(A;A),0,Good,"common in clinvar"
Rs5911(C;C),1.5,Bad,"BAK platelet-specific alloantigen"
Rs6180(A;A),0,Good,"common in clinvar"
Rs6180(C;C),0,,
Rs641615(C;C),0,Good,"common in clinvar"
Rs6746030(A;A),1,Bad,"Increased perception of pain"
Rs6746030(G;G),0,Good,"Normal perception of pain"
Rs743616(G;G),0,Good,"common in clinvar"
Rs7481951(A;A),0,Good,"common in clinvar"
Rs7764472(G;G),0,Good,"common in clinvar"
Rs799917(C;C),0,Good,"common in clinvar"
Rs8023524(G;G),0,Good,"common in clinvar"
Rs928302(C;C),0,Good,"common in complete genomics"
Rs930557(G;G),0,Good,"common in clinvar"
Rs942519(A;A),0,Good,"common in clinvar"
Rs2834167(A;A),2.1,Bad,"2.67x increased risk for systemic sclerosis"
Rs2834167(G;G),0,,normal
Rs1470579(A;A),0,,normal
Rs13293564(G;T),0,,normal
Rs279858(G;G),2.1,Bad,"apparently more prone to alcoholism"
Rs216321(C;C),0,Good,"common on affy axiom data"
Rs17316910(G;G),0,,
Rs3760511(G;G),1.2,,
Rs7892900(C;C),0,Good,"common on affy axiom data"
Rs2839110(A;A),0,,
Rs6083(G;G),0,,
Rs622082(A;A),0,Good,"common in clinvar"
Rs600753(T;T),0,Good,"common in clinvar"
Rs6436669(A;G),0,,
Rs10178458(C;T),0,,
Rs643788(T;T),0,Good,"common in clinvar"
Rs13181(T;T),1,Good,"Normal risk for cutaneous melanoma"
Rs2240308(A;A),0,,
Rs228406(C;C),0,,
Rs7624750(G;G),0,Good,"common in clinvar"
Rs3734110(C;T),0,,
Rs11558492(A;G),0,,
Rs1230345(G;T),0,,
Rs2820312(A;G),0,,
Rs363050(A;G),1.1,,
Rs2274159(A;G),0,Good,
Rs11650915(A;G),0,,
Rs103612(C;T),0,,
Rs11756977(C;C),0,,
Rs133885(A;G),0,,
Rs11895564(A;G),0,,
Rs1003483(G;T),0,,
Rs1043424(A;A),0,Good,"common in clinvar"
Rs1805081(C;T),0,,
Rs1042713(A;G),1.3,Bad,"1.3x increased risk that pediatric inhaler use may make asthma worse"
Rs2306541(G;G),0,,
Rs529038(C;T),0,,
Rs1053312(A;G),0,,
Rs2303436(C;T),0,,
Rs627441(C;T),0,,
Rs1592377(A;C),0,,
Rs1796993(G;G),0,,
Rs12828016(G;G),0,Good,"common in clinvar"
Rs7426114(C;T),0,,
Rs6713162(A;G),0,,
Rs938952(T;T),0,,
Rs4689278(T;T),0,Good,"common in complete genomics"
Rs2043556(T;T),0,,
Rs1801376(A;A),0,,
Rs10503929(T;T),0,,
Rs805708(A;A),0,,
Rs446227(G;G),0,Good,"common in clinvar"
Rs444772(G;G),0,Good,"common in clinvar"
